,page_id,page_ideo_full_year,Other,Trump,Clinton,Johnson,page_name,ideology_from_community
814,368004436727923,1.4740737987589891,0.0,1.0,0.0,0.0,"Donald Trump, The Political Movement",Trump
815,369527829841639,-0.9906968354554982,0.0,0.0,1.0,0.0,Groopspeak,Clinton
816,370328643059107,-1.140186681653237,0.0,0.0,1.0,0.0,1 Million Strong For Hillary Clinton in 2016,Clinton
817,370787006340754,0.0311430011349122,0.0,0.0,0.0,1.0,Gary Johnson 2016,Johnson
818,371655802904606,-1.7769060037975872,0.0,0.0,1.0,0.0,Liberal Identity,Clinton
819,380516878697366,-0.8220935091237221,0.0,0.0,1.0,0.0,Madam President,Clinton
820,382548655176036,-0.19539273629333526,0.42857142857142855,0.0,0.07142857142857142,0.5,WikiLeaksParty,Johnson
821,383594785008126,1.2450469128069754,0.0,1.0,0.0,0.0,Ann Romney Fan Site,Trump
822,388117401328419,-0.13007416886986606,0.7857142857142857,0.07142857142857142,0.0,0.14285714285714285,Mobay Tory - MBT,Other
823,389658314427637,0.7400242114097041,0.0,1.0,0.0,0.0,Right Wing News,Trump
824,390841474340132,-1.454621556936026,0.0,0.0,1.0,0.0,Elisabeth Parker,Clinton
825,392195624197755,-2.54281486217642,0.0,0.0,1.0,0.0,The Party of Scrooge - History of American Politics,Clinton
826,395952163902381,-1.2946048367804293,0.0,0.0,1.0,0.0,Hillary HQ,Clinton
827,396523657071573,2.6899007406815683,0.14285714285714285,0.8571428571428571,0.0,0.0,Christians Against Electing Leftists,Trump
828,398926776798256,-0.5377718394098147,0.0,0.0,1.0,0.0,Above Average,Clinton
829,405679386265498,1.611861487826786,0.0,1.0,0.0,0.0,The Jefferson Newsletter,Trump
830,407570359384477,-0.23811743922180287,0.21428571428571427,0.0,0.7142857142857143,0.07142857142857142,AJ+,Clinton
831,407577195956039,2.035394903955393,0.0,1.0,0.0,0.0,America Needs a Truthful president,Trump
832,409080845829193,2.1191321747025595,0.0,1.0,0.0,0.0,Draft Judge Andrew Napolitano for President,Trump
833,413605605357873,1.3783981449032034,0.0,1.0,0.0,0.0,The New Republic of Texas,Trump
834,414280728767306,1.3989131669385542,0.0,1.0,0.0,0.0,Right Side Broadcasting,Trump
835,415494541850521,-1.4458141951709746,0.0,0.0,1.0,0.0,Kimberley A. Johnson,Clinton
836,417576561609357,0.30084317483089856,0.0,0.21428571428571427,0.0,0.7857142857142857,Awesome Sh*t My Drill Sergeant Said,Johnson
837,419846804712840,0.5228427064733595,0.0,1.0,0.0,0.0,Molon Labe Industries,Trump
838,420776631313347,-1.3688631452709965,0.0,0.0,1.0,0.0,The 47ers,Clinton
839,423006854503882,0.38512870433253527,0.0,1.0,0.0,0.0,Milo Yiannopoulos,Trump
840,424717587573142,-0.24385504855221105,0.7142857142857143,0.0,0.07142857142857142,0.21428571428571427,Bardock Obama,Other
841,425390150874429,1.2566850202525066,0.0,1.0,0.0,0.0,Sean Brown,Trump
842,429101477109798,-1.423028080627637,0.0,0.0,1.0,0.0,Meme GOP,Clinton
843,437674196342052,1.1714028177009597,0.0,1.0,0.0,0.0,We the People,Trump
844,438956182828623,-1.4765276700706982,0.0,0.0,1.0,0.0,The Rachel Maddow Fan Page.,Clinton
845,440106476051475,1.0260701790681088,0.0,1.0,0.0,0.0,Freedom Daily,Trump
846,440522575997388,1.953520484309865,0.0,1.0,0.0,0.0,The D.C. Clothesline,Trump
847,442430012490396,-0.2050108923651726,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0,Circa,Other
848,443476065755081,0.3592433831585628,0.0,1.0,0.0,0.0,Joshua Feuerstein,Trump
849,444258668967650,-1.0306308282489733,0.0,0.0,1.0,0.0,Hillary Clinton 2016,Clinton
850,444654488901592,-0.4578097767148546,0.07142857142857142,0.0,0.9285714285714286,0.0,Quartz,Clinton
851,445954212128295,-1.64381794160771,0.07142857142857142,0.0,0.9285714285714286,0.0,Democrats Driving Forward to Victory,Clinton
852,451075468389015,1.0011814980249132,0.0,1.0,0.0,0.0,Donald Trump For President,Trump
853,451151401602780,0.6732221138906611,0.0,1.0,0.0,0.0,The Alex Jones Channel,Trump
854,456740217686384,-0.7115692425909417,0.0,0.0,1.0,0.0,Guardian US,Clinton
855,460197020720819,2.28016580217325,0.0,1.0,0.0,0.0,The Right Scoop,Trump
856,463855417049923,1.3128243653276306,0.0,1.0,0.0,0.0,Dc Gazette,Trump
857,467133963318685,1.1864831434786436,0.0,1.0,0.0,0.0,TPNN,Trump
858,467499760010724,-0.6693615009900082,0.0,0.0,1.0,0.0,Going to Hell in Every Religion,Clinton
859,468285376597666,-0.1970361440282997,0.7142857142857143,0.0,0.14285714285714285,0.14285714285714285,All Def Digital,Other
860,472422969486331,-1.8338470446500306,0.0,0.0,1.0,0.0,Armed Democrats,Clinton
861,475025662553385,-1.8599321323934246,0.0,0.0,1.0,0.0,Snarky Democrat,Clinton
862,475549362567960,1.2877704898835989,0.0,1.0,0.0,0.0,Conservative Review,Trump
863,475763235822198,-0.5247212941017703,0.14285714285714285,0.0,0.7857142857142857,0.07142857142857142,New Day,Clinton
864,479681268841947,-0.591686119615442,0.0,0.0,0.8571428571428571,0.14285714285714285,teleSUR English,Clinton
865,479687202044787,-0.9004640521464001,0.0,0.0,1.0,0.0,DeadState,Clinton
866,486474041433960,0.9362228201598201,0.0,1.0,0.0,0.0,Rowdy Republican,Trump
867,492037610911691,1.533694465933277,0.0,1.0,0.0,0.0,Angry American Patriots,Trump
868,495539003867549,-0.8235630703362274,0.0,0.0,1.0,0.0,Brian Sims,Clinton
869,496932476988091,1.4924559431492006,0.0,1.0,0.0,0.0,Lock N' Load With Lindsay,Trump
870,513600888679373,1.2193402886120468,0.0,1.0,0.0,0.0,Dennis Michael Lynch,Trump
871,513813158657249,0.7562218262469315,0.0,1.0,0.0,0.0,Mad World News,Trump
872,516676641828189,-0.5839087986995322,0.35714285714285715,0.0,0.6428571428571429,0.0,Hillary Clinton in 2016,Clinton
873,516686618407950,-1.8850299334555343,0.0,0.0,1.0,0.0,The Smart Arse Liberal,Clinton
874,519305544814653,0.7899115349123241,0.0,1.0,0.0,0.0,Conservative Tribune,Trump
875,521878704532086,1.7016281688568011,0.0,1.0,0.0,0.0,Start Impeachment Now,Trump
876,523943624350521,1.074478599274801,0.0,1.0,0.0,0.0,The voice of the people,Trump
877,528930603826623,-0.11524858229816252,0.6428571428571429,0.0,0.21428571428571427,0.14285714285714285,Game Of Laughs,Other
878,529525930430284,0.9929787958502173,0.0,1.0,0.0,0.0,Your Nation,Trump
879,531120203583969,1.5114268971624334,0.0,1.0,0.0,0.0,I did NOT vote for Obama.,Trump
880,532854420074062,0.49214878185824357,0.0,1.0,0.0,0.0,Faves USA,Trump
881,534770146604344,-0.6782171027834779,0.21428571428571427,0.0,0.7857142857142857,0.0,@midnight,Clinton
882,539753402762439,0.6023826904286531,0.0,1.0,0.0,0.0,Rednecks Unlimited,Trump
883,545775132233909,-0.9184047082460224,0.0,0.0,1.0,0.0,The Late Show with Stephen Colbert,Clinton
884,551987771496911,-1.470532993613593,0.0,0.0,1.0,0.0,Forward Progressives,Clinton
885,554069604681993,0.016868285895828502,0.8571428571428571,0.0,0.0,0.14285714285714285,"El Bueno, La Mala, y El Feo",Other
886,554097581296943,-1.35976482894494,0.0,0.0,1.0,0.0,Manny Schewitz,Clinton
887,554682674553388,-1.5981439277340839,0.0,0.0,1.0,0.0,The Witty Liberal,Clinton
888,561591777188116,0.3000482862814691,0.0,0.0,0.0,1.0,Ron Paul Institute for Peace and Prosperity,Johnson
889,562351880441856,-0.8440103779681477,0.0,0.0,1.0,0.0,The Lead with Jake Tapper,Clinton
890,568888089890063,-1.704989081986234,0.0,0.0,1.0,0.0,"The Good, the Chad, & the Ugly",Clinton
891,568982666502934,1.1025204679204141,0.0,1.0,0.0,0.0,America's Freedom Fighters,Trump
892,569132726495630,1.9070641997467301,0.0,1.0,0.0,0.0,Stop Obamacare,Trump
893,570092813023833,0.4319689021917548,0.0,1.0,0.0,0.0,Matt Walsh,Trump
894,574747565911344,1.591567127767774,0.0,1.0,0.0,0.0,Truth And Action,Trump
895,585201591501053,-0.14222138056801611,0.5,0.0,0.07142857142857142,0.42857142857142855,Anonymous The World is Ours,Other
896,591402597574018,0.9271246190092892,0.0,1.0,0.0,0.0,Tell Me Now,Trump
897,596635807026540,1.3117707136275771,0.0,1.0,0.0,0.0,Stop Hillary In 2016,Trump
898,598356233569407,-1.5184264379922314,0.0,0.0,1.0,0.0,AM Joy on MSNBC,Clinton
899,599617463415786,2.5774081370296207,0.0,1.0,0.0,0.0,Conservative Infidel,Trump
900,610045389164725,-0.8565757791257015,0.0,0.0,1.0,0.0,Liberal Daily,Clinton
901,618786471475708,-0.4037602841820714,0.07142857142857142,0.0,0.8571428571428571,0.07142857142857142,BuzzFeed News,Clinton
902,619459291436461,-0.7186342393797461,0.0,0.0,1.0,0.0,The Intercept,Clinton
903,620332914649716,-1.2142510803184459,0.0,0.0,1.0,0.0,Conservatives Are Destroying Our Future,Clinton
904,630067593722141,1.0882800400036725,0.0,1.0,0.0,0.0,The 2016 Committee,Trump
905,644891892279936,1.1344661687612148,0.0,1.0,0.0,0.0,End The Fed,Trump
906,660810660646898,1.048456264590236,0.0,1.0,0.0,0.0,Ted Cruz For President 2020,Trump
907,687958677914631,-1.1045234923697222,0.0,0.0,1.0,0.0,FiveThirtyEight,Clinton
908,689907071131476,-1.2021098040928118,0.0,0.0,1.0,0.0,The New York Times Politics and Washington,Clinton
909,695526053890545,1.4228623704402543,0.0,1.0,0.0,0.0,Ann Coulter,Trump
910,702815073143116,1.9141894284728582,0.0,1.0,0.0,0.0,Rebirth of Freedom,Trump
911,714016298647274,0.0059178492883932,0.42857142857142855,0.0,0.07142857142857142,0.5,Russia Truth,Johnson
912,721683147909323,0.8510730705196342,0.0,1.0,0.0,0.0,The New Resistance,Trump
913,731244080298286,-1.0232351491421754,0.0,0.0,1.0,0.0,Reverb Press,Clinton
914,731743396857610,-0.15885907620522358,0.6428571428571429,0.0,0.21428571428571427,0.14285714285714285,Mediatakeout,Other
915,737151126362683,1.3312077216083638,0.0,1.0,0.0,0.0,American Military News,Trump
916,745995528781548,-0.17038212021294113,0.7142857142857143,0.0,0.14285714285714285,0.14285714285714285,Marvel Universe,Other
917,747113272076027,-1.1127281378691465,0.0,0.0,1.0,0.0,Hillary for America,Clinton
918,747754388695524,-1.0324387871643952,0.0,0.0,1.0,0.0,Bernie Sanders' Revolution,Clinton
919,751413538254047,2.034857623146781,0.0,1.0,0.0,0.0,America is RIGHT,Trump
920,753542244699109,1.2988250388222737,0.07142857142857142,0.9285714285714286,0.0,0.0,Kennedy,Trump
921,754734577940325,0.20986930026200137,0.0,0.2857142857142857,0.0,0.7142857142857143,Disdain for Plebs,Johnson
