,page_id,page_name,week_0_community,week_1_community,week_2_community,week_3_community,week_4_community,week_5_community,week_6_community,week_7_community,week_8_community,week_9_community,week_10_community,week_11_community,week_12_community,week_13_community
180,16307558831,Mark Levin,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181,208421665712,TMZ,3,3,3,3,3,3,3,3,3,3,3,3,3,2
182,39795225543,ComicBook.com,3,3,3,3,3,2,3,3,3,3,3,3,3,2
183,163513530519501,Brad Takei,2,2,2,2,2,2,2,2,2,2,2,2,2,2
184,513600888679373,Dennis Michael Lynch,1,1,1,1,1,1,1,1,1,1,1,1,1,1
185,20324257234,The Raw Story,2,2,2,2,2,2,2,2,2,2,2,2,2,2
186,15779440092,National Review,1,1,1,1,1,1,1,1,1,1,1,1,1,1
187,190759221080032,Anonymous1,3,2,3,3,2,2,2,2,3,3,3,3,3,3
188,338028696036,Yahoo News,2,2,2,2,2,2,2,2,2,2,2,2,2,2
189,271042954725,Laura Ingraham,1,1,1,1,1,1,1,1,1,1,1,1,1,1
190,153213781413350,HuffPost Women,2,2,2,2,2,2,2,2,2,2,2,2,2,2
191,22561081832,NRA Institute for Legislative Action,1,1,1,1,1,1,1,1,1,1,1,1,1,1
192,25987609066,The Rachel Maddow Show,2,2,2,2,2,2,2,2,2,2,2,2,2,2
193,7976226799,The Daily Show,2,2,2,2,2,2,2,2,2,2,2,2,2,2
194,201956993160690,MRCTV,1,1,1,1,1,1,1,1,1,1,1,1,1,1
195,115099421882868,Unknown Page Name24,2,2,2,2,2,2,2,2,2,2,2,2,2,2
196,21516776437,Slate.com,2,2,2,2,2,2,2,2,2,2,2,2,2,2
197,20446254070,Business Insider,3,2,3,2,2,2,2,2,3,3,2,3,3,2
198,618786471475708,BuzzFeed News,3,2,2,2,2,2,2,2,3,2,2,2,2,2
199,5978057725,Libertarian Party,3,3,3,3,3,3,3,3,3,3,3,3,3,3
